Index,ISLANDNAME,PLOT,Easting,Northing,OCODES,BRCR,URB_100Z,RUR_100Z,FOR0_100Z,FOR1_100Z,FOR2_100Z,SAV_100Z,SHR_100Z,CR_CL_2Z,CR_CL_3Z,Is_sizeZ,rd_up_100Z,rd_p_100Z
216,Pender North,PEN11,479105,5404462,c,0,-0.180973645,2.818025176,-0.244224744,-0.582075977,-0.635999983,-0.46421402,-0.202047601,-1.361630875,-0.861400343,-0.315754795,-0.56544841,1.569546919
217,Pender North,PEN12,479502,5402991,b,0,-0.180973645,2.708403855,-0.244224744,-0.509602078,-0.635999983,-0.46421402,-0.202047601,-1.4091715,-0.336284641,-0.315754795,-0.56544841,1.560141414
218,Pender North,PEN13,479371,5403157,c,0,-0.180973645,2.060970916,-0.244224744,-0.339637556,-0.303618305,-0.46421402,-0.202047601,-1.072493771,-0.167909694,-0.315754795,-0.56544841,1.607918868
219,Pender South,PEN14,483218,5400517,c,0,-0.180973645,-0.147824573,-0.244224744,-0.526796027,1.818044549,-0.46421402,-0.202047601,0.424707115,1.390046386,-0.374749255,3.190653945,-0.342724967
220,Pender South,PEN15,483282,5400399,b,0,-0.180973645,-0.413305792,-0.244224744,-0.109334542,1.118850814,0.009382896,0.295720963,0.496151519,1.213394062,-0.374749255,1.274448102,-0.342724967
221,Pender South,PEN16,483187,5400427,c,0,-0.180973645,-0.413305792,-0.244224744,-0.378685512,1.853305919,-0.46421402,-0.202047601,0.16819261,2.336918659,-0.374749255,2.861721393,-0.342724967
222,Pender South,PEN17,483022,5400471,b,0,-0.180973645,-0.413305792,-0.244224744,-0.264135542,1.7057846,-0.46421402,-0.202047601,1.583702443,-0.546527189,-0.374749255,1.491781064,-0.342724967
223,Pender South,PEN18,482890,5400424,c,0,-0.180973645,-0.413305792,-0.244224744,1.07028169,-0.012722965,-0.46421402,-0.202047601,0.184176208,0.786471953,-0.374749255,1.609935499,-0.342724967
224,Pender South,PEN19,482762,5400484,b,0,-0.180973645,-0.413305792,-0.244224744,1.291423213,-0.297516485,-0.46421402,-0.202047601,-0.519729298,-0.221948739,-0.374749255,1.511185777,-0.342724967
225,Pender South,PEN20,482695,5400609,c,0,-0.180973645,-0.413305792,-0.244224744,1.554254883,-0.635999983,-0.46421402,-0.202047601,-0.130894908,0.035284283,-0.374749255,2.251972594,-0.342724967
226,Pender South,PEN21,482624,5400661,b,0,-0.180973645,-0.413305792,-0.244224744,1.101464984,-0.052881863,-0.46421402,-0.202047601,0.246455815,-0.382885424,-0.374749255,1.545725116,-0.342724967
227,Pender South,PEN22,482494,5400700,c,0,-0.180973645,-0.413305792,-0.244224744,0.302545149,0.695639844,0.024898171,-0.202047601,1.4195,-0.735734959,-0.374749255,1.574869948,-0.342724967
228,Pender South,PEN23,485281,5399608,c,0,-0.180973645,1.170953798,-0.244224744,0.116625722,-0.133483688,-0.46421402,-0.202047601,-0.485867509,-0.384119919,-0.374749255,-0.56544841,1.566765278
229,Pender South,PEN24,485091,5399629,b,0,-0.023945825,2.039835713,-0.244224744,-0.129196297,-0.635999983,-0.46421402,-0.202047601,-0.687107845,-0.861024874,-0.374749255,-0.56544841,2.004182059
230,Pender South,PEN25,484934,5399607,c,0,-0.099771421,2.879529495,-0.244224744,-0.654622993,-0.635999983,-0.46421402,-0.202047601,-1.283432776,-0.820033366,-0.374749255,-0.56544841,1.741307067
231,Pender South,PEN26,484833,5399622,b,0,-0.180973645,3.016930787,-0.244224744,-0.810770527,-0.510876603,-0.46421402,-0.202047601,-1.326087173,-0.469356998,-0.374749255,-0.56544841,1.27792278
232,Pender South,PEN27,484718,5399626,c,0,-0.180973645,3.227551285,0.010462446,-0.932810853,-0.635999983,-0.46421402,-0.202047601,-1.461163225,-0.849231745,-0.374749255,-0.56544841,0.860862068
233,Pender South,PEN28,484566,5399600,b,0,-0.180973645,2.356106349,1.374944045,-0.785050243,-0.635999983,-0.46421402,-0.202047601,-1.431173091,-0.861400343,-0.374749255,-0.56544841,-0.342724967
234,Pender South,PEN29,484652,5399544,c,0,-0.180973645,2.297698213,0.138859933,-0.358328458,-0.635999983,-0.46421402,-0.202047601,-1.058269128,-0.856001559,-0.374749255,-0.56544841,-0.342724967
