clusplot,b1mn,b2mn,b3mn,b4mn,b5mn,b7mn,srmn,ndvimn,tvimn,brightmn,greenmn,wetmn,varimn,vc1mn,vc2mn,X_coordmn,Y_coordmn,tvolha
29,0.167048079,0.133460606,0.091405883,0.473846105,0.188044183,0.097400727,0.20014836,0.668224497,108.0555059,0.489703767,0.214964859,0.081393355,0.755098874,-0.433293615,-0.652464193,530120.8333,5462879.167,43.8847892
30,0.155983353,0.108940587,0.063419669,0.223752048,0.0794215,0.042904972,0.287942717,0.555090072,102.677867,0.270165929,0.059154714,0.071513067,4.726277908,-0.473932363,-0.675317667,529362.5,5463625,642.1903308
31,0.170736321,0.137085305,0.090322545,0.477676375,0.186714109,0.088870957,0.191786613,0.678760871,108.5607746,0.49124689,0.217841449,0.087902396,0.82780561,-0.437797107,-0.690757667,532410,5461380,692.0809112
32,0.160800649,0.126302588,0.083667759,0.385170542,0.180127078,0.091308034,0.218508897,0.641864496,106.8494196,0.428455374,0.158878598,0.054011547,0.986054327,-0.363086727,-0.61844146,531600,5465942.857,554.6740176
33,0.166521187,0.113204938,0.078766947,0.33077428,0.121540499,0.052382495,0.238367355,0.615283798,105.6026467,0.361569646,0.125705823,0.085107716,1.531756946,-0.462653304,-0.72697123,531612.5,5464425,253.9913987
34,0.172316996,0.128130167,0.091405883,0.435543412,0.186566323,0.092661966,0.209976935,0.653190131,107.3822406,0.46711637,0.187700582,0.071110351,0.808986684,-0.405619535,-0.653737511,530875,5462887.5,141.8293016
35,0.172091186,0.136354273,0.089084446,0.449866688,0.17506013,0.080138097,0.19834325,0.669083009,108.1222936,0.468717448,0.198816278,0.089006805,0.88914999,-0.439856006,-0.698653467,530882.1429,5462125,412.3008479
36,0.17653213,0.129196255,0.092308664,0.407379667,0.151097692,0.066598779,0.226958676,0.630330334,106.312173,0.433173273,0.167179996,0.095579164,0.856429382,-0.459074522,-0.718967369,532379.1667,5464429.167,673.6180991
37,0.162832945,0.112138851,0.074253042,0.317255682,0.116367991,0.053567185,0.236934944,0.617834827,105.711703,0.348440971,0.119093841,0.08101244,1.681600727,-0.461761537,-0.712726851,531654.1667,5461370.833,792.8314568
38,0.162306054,0.112138851,0.074253042,0.336407029,0.122279429,0.047643733,0.220898956,0.638186299,106.6849858,0.360564124,0.134476257,0.086248602,1.666529374,-0.466926152,-0.752115181,531629.1667,5462895.833,647.4208774
39,0.163886729,0.121733641,0.079669728,0.396114169,0.142969464,0.073706921,0.202243763,0.663967949,107.88053,0.412892735,0.169311523,0.086484216,1.264408132,-0.469392921,-0.685508281,531650,5462137.5,519.9857426
